Ticker,Description,Last,Change %,Change,High,Low,Volume,Rating,Exchange
ETCUSD,Ethereum Classic / US Dollar (calculated by TradingView),67.27707999,0.01855997,0.01248429,67.41029087,66.9597,28072.70678606,Buy,BINANCE
ETHUSD,Ethereum / US Dollar (calculated by TradingView),2629.83208368,0.18250544,4.79084317,2638.8602241,2609.43512341,4110.44628464,Strong Buy,BINANCE
FILUSD,FIL / US Dollar (calculated by TradingView),69.14619378,0.12207503,0.08430732,69.26287552,68.73983592,21043.61576351,Neutral,BINANCE
FTMUSD,Fantom / US Dollar (calculated by TradingView),0.30845886,-0.00221886,-0.00000684,0.30939091,0.30567705,5881387.77485025,Neutral,BINANCE
FTTUSD,FTX Token / US Dollar (calculated by TradingView),33.78726123,0.14941174,0.05040682,33.89918744,33.64076192,36570.80727498,Buy,BINANCE
GLMUSD,GLM / US Dollar (calculated by TradingView),0.30295066,-0.48635512,-0.00148062,0.30516784,0.30063034,1476107.27176898,Buy,BINANCE
GRTUSD,GRT / US Dollar (calculated by TradingView),0.76380288,0.21311664,0.00162433,0.76570291,0.75853151,1127824.5765993,Neutral,BINANCE
HBARUSD,Hedera Hashgraph / US Dollar (calculated by TradingView),0.22657037,-0.36761014,-0.00083597,0.22886459,0.22514309,2798299.31468536,Buy,BINANCE
HNTUSD,HNT / US Dollar (calculated by TradingView),15.18425445,-2.13172723,-0.3307373,15.59213785,15.14143132,53640.0750472,Sell,BINANCE
ICPUSD,ICP / US Dollar (calculated by TradingView),106.38158437,-0.56967858,-0.60950533,107.27513478,104.9866421,12484.80175585,Strong Sell,BINANCE
ICXUSD,ICON / US Dollar (calculated by TradingView),1.15047809,0.88968035,0.01014532,1.15319558,1.14032547,1075240.3240254,Strong Buy,BINANCE
IOSTUSD,IOST / US Dollar (calculated by TradingView),0.03194752,1.28097526,0.00040406,0.03200596,0.03140768,13013205.61433398,Buy,BINANCE
IOTAUSD,IOTA / US Dollar (calculated by TradingView),1.1449699,-0.45782403,-0.00526606,1.15890645,1.13922824,1274472.63695986,Buy,BINANCE
KNCUSD,Kyber Network / US Dollar (calculated by TradingView),2.11514645,1.63428242,0.03401162,2.14818751,2.0803559,700485.89054801,Buy,BINANCE
KSMUSD,KSM / US Dollar (calculated by TradingView),383.29685111,0.24160371,0.92382743,384.0714702,379.16469218,6266.54168581,Buy,BINANCE
LINKUSD,ChainLink / US Dollar (calculated by TradingView),30.58700059,0.22873286,0.06980286,30.71377929,30.37401937,43588.47236474,Strong Buy,BINANCE
LPTUSD,LPT / US Dollar (calculated by TradingView),25.05637992,-0.02156136,-0.00540366,25.19552093,24.82866299,720.98201871,Buy,BINANCE
LRCUSD,Loopring / US Dollar (calculated by TradingView),0.37749489,-0.36776646,-0.00139342,0.38156363,0.37435511,2291494.84394834,Buy,BINANCE
LSKUSD,Lisk / US Dollar (calculated by TradingView),3.5656375,-0.29390958,-0.01051064,3.59599793,3.56180758,156512.87864478,Buy,BINANCE
LTCUSD,Litecoin / US Dollar (calculated by TradingView),181.84384046,-0.56594765,-1.0349985,183.71718535,180.921684,14356.39336392,Buy,BINANCE
LUNAUSD,Luna / US Dollar (calculated by TradingView),6.40052128,-0.32927292,-0.02114481,6.4535036,6.36001721,125707.9125625,Buy,BINANCE
MANAUSD,Decentraland / US Dollar (calculated by TradingView),0.83467498,-0.1905501,-0.00159351,0.84024831,0.83133432,337459.52079353,Buy,BINANCE
MATICUSD,MATIC Network / US Dollar (calculated by TradingView),1.79677284,0.03504803,0.00062951,1.80843643,1.79187021,1680035.3309998,Sell,BINANCE
MDXUSD,MDX / US Dollar (calculated by TradingView),2.45567219,-1.53975214,-0.03840257,2.50777332,2.4362808,25882.21201871,Buy,BINANCE
MIRUSD,MIR / US Dollar (calculated by TradingView),4.7958008,0.65633172,0.03127112,4.79604959,4.75946082,209408.81132579,Sell,BINANCE
MKRUSD,MKR / US Dollar (calculated by TradingView),3576.1765127,0.39613142,14.11046297,3585.66034349,3552.97273009,1170.51703308,Buy,BINANCE
NANOUSD,Nano / US Dollar (calculated by TradingView),7.20471759,0.83628283,0.05975212,7.215873,7.10324406,57981.49755104,Buy,BINANCE
NEARUSD,NEAR / US Dollar (calculated by TradingView),3.24983439,0.23001213,0.00745786,3.27062144,3.23223041,106857.91222302,Buy,BINANCE
NEOUSD,NEO / US Dollar (calculated by TradingView),54.09046385,-0.01899366,-0.01027571,54.46970641,53.83989149,14559.29020705,Buy,BINANCE
OGNUSD,Origin Protocol / US Dollar (calculated by TradingView),1.04949454,-0.95753063,-0.01014639,1.06329588,1.04600089,897123.12800624,Sell,BINANCE
OMGUSD,OmiseGO / US Dollar (calculated by TradingView),6.43724258,-0.3946217,-0.0255034,6.51270615,6.40251103,219246.90317336,Buy,BINANCE
ONEUSD,Harmony / US Dollar (calculated by TradingView),0.09841306,-0.25535539,-0.00025195,0.09892083,0.09756314,7843435.01755623,Neutral,BINANCE
ONTUSD,Ontology / US Dollar (calculated by TradingView),1.10677976,-0.31321168,-0.00347746,1.11378066,1.10091685,596488.13978341,Buy,BINANCE
QTUMUSD,Qtum / US Dollar (calculated by TradingView),11.73979721,0.55717659,0.06504896,11.74025758,11.61851542,62804.99969279,Buy,BINANCE
REEFUSD,REEF / US Dollar (calculated by TradingView),0.02533769,0.11682612,0.00002957,0.02538665,0.02485328,22224819.57440411,Neutral,BINANCE
RENBTCUSD,RENBTC / US Dollar (calculated by TradingView),36698.52529865,0.11675788,42.7984485,36772.137131,36497.9122559,904.6263621,Buy,BINANCE
RENUSD,Ren / US Dollar (calculated by TradingView),0.60406526,-0.24708255,-0.00149624,0.60921681,0.59865141,1179876.12480567,Buy,BINANCE
RLCUSD,iExec RLC / US Dollar (calculated by TradingView),5.38517755,-1.75232501,-0.0960489,5.51880533,5.35271965,138930.46362076,Buy,BINANCE
RSRUSD,RSR / US Dollar (calculated by TradingView),0.03782293,0.11675788,0.00004411,0.03825999,0.03728745,6206766.58772988,Buy,BINANCE
RUNEUSD,RUNE / US Dollar (calculated by TradingView),11.55215141,-0.06114276,-0.00706763,11.63596568,11.46300322,108557.32963775,Sell,BINANCE
RVNUSD,Ravencoin / US Dollar (calculated by TradingView),0.08299012,-0.32421717,-0.00026994,0.08373069,0.08217535,3541077.9888213,Buy,BINANCE
SCUSD,Siacoin / US Dollar (calculated by TradingView),0.01725901,0.11675788,0.00002013,0.01762686,0.01680209,54721148.24147612,Buy,BINANCE
SKLUSD,SKL / US Dollar (calculated by TradingView),0.41825552,-0.49470773,-0.00207943,0.42269935,0.41591288,895129.7020915,Sell,BINANCE
SNTUSD,Status / US Dollar (calculated by TradingView),0.09474093,-0.26979331,-0.0002563,0.09566687,0.0943199,802444.07845934,Strong Buy,BINANCE
SNXUSD,SNX / US Dollar (calculated by TradingView),12.51461648,-0.40918173,-0.05141792,12.64274482,12.4355832,74872.04390082,Neutral,BINANCE
SOLUSD,SOL / US Dollar (calculated by TradingView),30.98652825,-0.11406773,-0.03538599,31.20265501,30.8455899,41909.60604143,Neutral,BINANCE
STORJUSD,Storj / US Dollar (calculated by TradingView),1.14607154,0.50325324,0.00573876,1.15131399,1.13895396,866455.99941829,Buy,BINANCE
STXUSD,Blockstack / US Dollar (calculated by TradingView),0.97495032,-0.70601712,-0.00693226,0.98325695,0.97091644,1104088.47865916,Buy,BINANCE
SUSHIUSD,SUSHI / US Dollar (calculated by TradingView),11.89035451,-0.92350765,-0.11083187,12.06261111,11.78394649,186170.76897767,Buy,BINANCE
TFUELUSD,Theta Fuel / US Dollar (calculated by TradingView),0.35142277,0.01225187,0.00004305,0.35433537,0.34886819,2647274.07851778,Buy,BINANCE
THETAUSD,Theta Token / US Dollar (calculated by TradingView),7.94538606,0.32541174,0.02577136,7.95540143,7.80652657,251652.742053,Buy,BINANCE
TRXUSD,TRON / US Dollar (calculated by TradingView),0.07601308,-0.36450478,-0.00027808,0.07688787,0.07549874,6309873.53882281,Buy,BINANCE
UMAUSD,UMA / US Dollar (calculated by TradingView),13.55015693,-0.61048249,-0.08322944,13.70309402,13.49003017,7501.72043109,Buy,BINANCE
UNIUSD,UNI / US Dollar (calculated by TradingView),27.18256956,0.13028461,0.03536862,27.2908664,27.01106544,24615.88426776,Strong Buy,BINANCE
VETUSD,VeChain / US Dollar (calculated by TradingView),0.12154748,-0.78249444,-0.0009586,0.12325677,0.12079612,12714146.4178699,Buy,BINANCE
WAVESUSD,Waves / US Dollar (calculated by TradingView),13.08012439,-0.44217347,-0.05809372,13.17394574,13.03285124,97061.09983831,Neutral,BINANCE
WBTCUSD,Wrapped Bitcoin / US Dollar (calculated by TradingView),36763.52198637,0.12082635,44.3664152,36837.632142,36561.82322715,1334.12179335,Buy,BINANCE
WRXUSD,WRX / US Dollar (calculated by TradingView),1.82284496,0.35936714,0.00652725,1.84278382,1.8114011,679012.36378492,Neutral,BINANCE
XEMUSD,NEM / US Dollar (calculated by TradingView),0.18911466,0.31160593,0.00058746,0.18920387,0.18771565,3961892.11671544,Buy,BINANCE
XLMUSD,Stellar / US Dollar (calculated by TradingView),0.41238011,-0.4152385,-0.0017195,0.41644531,0.41046029,2211919.26980377,Buy,BINANCE
XMRUSD,Monero / US Dollar (calculated by TradingView),264.46674858,-0.11893868,-0.31492782,266.68607414,263.28137218,6468.19737475,Buy,BINANCE
XRPUSD,XRP / US Dollar (calculated by TradingView),1.00396014,-0.21173313,-0.00213023,1.01135609,0.99813388,2212620.62755374,Neutral,BINANCE
XTZUSD,Tezos / US Dollar (calculated by TradingView),3.69783415,0.01750387,0.00064715,3.71233752,3.68415961,723393.34279362,Buy,BINANCE
XVGUSD,Verge / US Dollar (calculated by TradingView),0.0257049,-1.2933373,-0.00033681,0.02612441,0.02556437,33201251.7595008,Buy,BINANCE
XVSUSD,XVS / US Dollar (calculated by TradingView),31.29388547,-1.13608434,-0.35961041,31.82763175,31.16940726,47862.18727423,Sell,BINANCE
YFIUSD,YFI / US Dollar (calculated by TradingView),45319.9503518,1.22234976,547.2786439,45330.90822533,44523.36507465,953.11349225,Strong Buy,BINANCE
ZECUSD,Zcash / US Dollar (calculated by TradingView),153.56844523,-0.312246,-0.48101327,154.87939555,153.02432521,1651.76808364,Neutral,BINANCE
ZENUSD,Horizen / US Dollar (calculated by TradingView),105.4562078,-0.13015205,-0.13743228,106.02180038,104.88820768,6844.9438765,Neutral,BINANCE
ZILUSD,Zilliqa / US Dollar (calculated by TradingView),0.12668846,0.99497505,0.0012481,0.12705812,0.12453502,11819420.26366536,Buy,BINANCE
ZRXUSD,0x / US Dollar (calculated by TradingView),1.13248466,-0.46419043,-0.0052814,1.15174735,1.12198172,760460.4647499,Buy,BINANCE
